kanji,hanviet,hiragana,meaning
断る,đoạn,ことわる,từ chối
見つかる,kiến,みつかる,được tìm thấy
見つける,kiến,みつける,tìm thấy
捕まる,bộ,つかまる,bị bắt
捕まえる,bộ,つかまえる,bắt
乗る,thừa,のる,leo lên
乗せる,thừa,のせる,cho lên
降りる,giáng,おりる,xuống
降ろす,giáng,おろす,cho xuống
直る,trực,なおる,được sửa
直す,trực,なおす,sửa
治る,trị,なおる,hồi phục
治す,trị,なおす,cứu chữa
亡くなる,vong,なくなる,chết
亡くす,vong,なくす,mất
生まれる,sinh,うまれる,được sinh ra
生む,sinh,うむ,sinh
出会う,"xuất, hợp",であう,gặp (ngẫu nhiên)
訪ねる,phóng,たずねる,thăm
付き合う,"phó, hợp",つきあう,"hẹn hò, giao tiếp"
効く,hiệu,きく,có hiệu quả
はやる,,はやる,phổ biến
経つ,kinh,たつ,qua
間に合う,"gian, hợp",まにあう,làm cho kịp giờ
間に合わせる,"gian, hợp",まにあわせる,kịp giờ
通う,thông,かよう,"đi làm, học"
込む,nhập,こむ,đông
すれ違う,vi,すれちあう,"vượt, lướt"
掛かる,quải,かかる,được bao phủ
掛ける,quải,かける,bao phủ
動く,động,うごく,hoạt động
動かす,động,うごかす,di chuyển
離れる,li,はなれる,tránh xa
離す,li,はなす,tách ra
ぶつかる,,ぶつかる,bị đâm
ぶつける,,ぶつける,đâm
こぼれる,,こぼれる,bị tràn
こぼす,,こぼす,tràn
ふく,,ふく,lau
片付く,"phiến, phó",かたづく,được dọn dẹp
片付ける,"phiến, phó",かたづける,dọn dẹp
包む,bao,つつむ,bọc
張る,trương,はる,dán
無くなる,vô,なくなる,bị mất
無くす,vô,なくす,mất
足りる,túc,たりる,đủ
残る,tàn,のこる,bị thừa
残す,tàn,のこす,thừa
腐る,hủ,くさる,thối
むける,,むける,bị lột
むく,,むく,lột
滑る,hoạt,すべる,trượt
積もる,tích,つもる,được tích tụ
積む,tích,つむ,"tích tụ, chất lại"
空く,không,あく,bị thủng
空ける,không,あける,thủng
下がる,hạ,さがる,bị giảm
下げる,hạ,さげる,giảm
冷える,lãnh,ひえる,bị lạnh
冷やす,lãnh,ひやす,làm lạnh
冷める,lãnh,さめる,bị nguội
冷ます,lãnh,さます,làm nguội
燃える,thiêu,もえる,cháy
燃やす,thiêu,もやす,đốt
沸く,phí,わく,sôi
沸かす,phí,わかす,đun sôi
鳴る,minh,なる,kêu
鳴らす,minh,ならす,làm kêu
役立つ,dịch,やくだつ,hữu ích
役立てる,"dịch, lập",やくだてる,được sử dụng
飾り,sức,かざり,trang trí
遊び,du,あそび,chơi
集まり,tập,あつまり,tập hợp
教え,giáo,おしえ,dạy
踊り,dũng,おどり,nhảy
思い,tư,おもい,"suy nghĩ, cảm giác"
考え,khảo,かんがえ,"nghĩ, ý tưởng"
片づけ,phiến,かたづけ,ngăn nắp
手伝い,"thủ, truyền",てつだい,giúp đỡ
働き,động,はたらき,hoạt động
決まり,quyết,きまり,luật lệ
騒ぎ,tào,さわぎ,"ồn ào, om xòm"
知らせ,tri,しらせ,"tin tức, thông báo"
頼み,lại,たのみ,yêu cầu
疲れ,bì,つかれ,"vất vả, mệt mỏi"
違い,vi,ちがい,khác biệt
始め,thủy,はじめ,khởi đầu
続き,tục,つづき,tiếp tục
暮れ,mộ,くれ,cuối năm
行き,hành,いき,đi
帰り,qui,かえり,trở về
急ぎ,cấp,いそぎ,"khẩn cấp, vội"
遅れ,trì,おくれ,gián đoạn
貸し,thải,かし,cho mượn
借り,tá,かり,mượn
勝ち,thắng,かち,thắng
負け,phụ,まけ,thua
迎え,nghênh,むかえ,đón
始まり,thủy,はじまり,bắt đầu
終わり,chung,おわり,kết thúc
戻り,lệ,もどり,"trở về, trả lại"
別れ,biệt,わかれ,chia ly
喜び,hỷ,よろこび,hớn hở
楽しみ,lạc,たのしみ,sung sướng
笑い,tiếu,わらい,cười
驚き,kinh,おどろき,ngạc nhiên
怒り,nộ,いかり,giận dữ
悲しみ,bi,かたしみ,buồn bã
幸せな,hạnh,しあわせな,hạnh phúc
得意な,"đắc, ý",とくいな,"mạnh, giỏi"
苦手な,"khổ, thủ",にがてな,"yếu, kém"
熱心な,"nhiệt, tâm",ねっしんな,chăm chỉ
夢中な,"mộng, trung",むちゅうな,chú tâm
退屈な,"thoái, quật",たいくつな,chán
健康な,"kiện, khang",けんこうな,khỏe khoắn
苦しい,khổ,くるしい,cực khổ
平気な,"bình, khí",へいきな,bình thản
悔しい,hối,くやしい,cay cú
うらやましい,,うらやましい,ghen tỵ
かゆい,,かゆい,ngứa
おとなしい,,おとなしい,trầm lặng
我慢強い,"ngã, mạn, cường",がまんづよい,chịu đựng giỏi
正直な,"chính, trị",しょうじきな,trung thực
けちな,,けちな,kẹt xỉ
我儘な,"ngã,tẫn",わがままな,ích kỷ
積極的な,"tích, cực, đích",せっきょくてきな,tích cực
消極的な,"tiêu, cực, đích",しょうきょくてきな,tiêu cực
満足な,"mãn, túc",まんぞくな,thỏa mãn
不満な,"bất, mãn",ふまんな,bất mãn
不安な,"bất, an",ふあんな,bất an
大変な,"đại, biến",たいへんな,tồi tệ
無理な,"vô, lý",むりな,vô lý
不注意な,"bất, trú, ý",ふちゅういな,không chú ý
楽な,lạc,らくな,thoải mái
面倒な,"diện, đảo",めんどうな,phiền phức
失礼な,"thất, lễ",しつれいな,thất lễ
当然な,"đương, nhiên",とうぜんな,đương nhiên
意外な,"ý, ngoại",いがいな,không ngờ đến
結構な,"kết, cấu",けっこうな,"tốt, đủ"
派手な,"phái, thủ",はでな,lòe loẹt
地味な,"địa, vị",じみな,giản dị
おしゃれな,,おしゃれな,"thời trang, mốt"
変な,biến,へんな,lạ
不思議な,"bất, tư, nghị",ふしぎな,thần bí
ましな,,ましな,tốt lên
むだな,,むだな,lãng phí
自由な,"tự, do",じゆうな,tự do
不自由な,"bất, tự, do",ふじゆうな,"tàn tật, không tự do"
温まる,ôn,あたたまる,trở nên ấm hơn
温める,ôn,あたためる,"ấm, nóng"
高まる,cao,たかまる,cao lên
高める,cao,たかめる,làm cao lên
強まる,cường,つよまる,mạnh lên
強める,cường,つよめる,làm mạnh lên
弱まる,nhược,よわまる,yếu đi
弱める,nhược,よわめる,làm yếu đi
広まる,quảng,ひろまる,rộng ra
広める,quảng,ひろめる,làm rộng ra
深まる,thâm,ふかまる,sâu hơn
深める,thâm,ふかめる,làm sâu thêm
世話,"thế, thoại",せわ,chăm sóc
家庭,"gia, đình",かてい,gia đình
協力,"hiệp, lực",きょうりょく,hiệp lực
感謝,"cảm, tạ",かんしゃ,cảm tạ
お礼,lễ,おれい,đáp lễ
お詫び,sá,おわび,xin lỗi
おじぎ,,おじぎ,cúi chào
握手,ác,あくしゅ,bắt tay
いじわる,,いじわる,xấu bụng
いたずら,,いたずら,nghịch ngợm
節約,"tiết, ước",せつやく,tiết kiệm
経営,"kinh, doanh",けいえい,quản lý
反省,"phản, tỉnh",はんせい,tự kiểm tra
実行,"thực, hành",じっこう,thực hành
進歩,"tiến, bộ",しんぽ,tiến bộ
変化,"biến, hóa",へんか,"thay đổi, biến hóa"
発達,"phát, triển",はったつ,phát triển
体力,"thể, lực",たいりょく,thể lực
出場,"xuất, trường",しゅつじょう,tham dự
活躍,"hoạt, dược",かつやく,hoạt động
競争,"cạnh, tranh",きょうそう,cạnh tranh
応援,"ứng, viện",おうえん,cổ vũ
拍手,"phách, thủ",はくしゅ,vỗ tay
人気,"nhận, khí",にんき,nổi tiếng
うわさ,,うわさ,tin đồn
情報,"tình, báo",じょうほう,thông tin
交換,"giao, hoán",こうかん,trao đổi
流行,"lưu, hành",りゅうこう,trào lưu
宣伝,"tuyên, truyền",せんでん,tuyên truyền
広告,"quảng, cáo",こうこく,quảng cáo
注目,"trú, mục",ちゅうもく,chú trọng
通訳,"thông, dịch",つうやく,thông dịch
翻訳,phiên. Dịch,ほにゃく,biên dịch
伝言,"truyền, ngôn",でんごん,tin nhắn thoại
報告,"báo, cáo",ほうこく,báo cáo
録画,"lục, họa",ろくが,ghi lại
混雑,"hỗn, tạp",こんざつ,hỗn tạp
渋滞,"sáp, trệ",じゅうたい,tắc đường
衝突,"xung, đột",しょうとつ,xung đột
被害,"bị, hại",ひがい,thiệt hại
事故,"sự, cố",じこ,tai nạn
事件,"sự, kiện",じけん,sự kiện
故障,"cố, chướng",こしょう,hỏng
修理,"tu, lý",しゅうり,sửa chữa
停電,"đình, điện",ていでん,mất điện
調子,"điều, tử",ちょうし,trạng thái
緊張,"khẩn, trương",きんちょう,lo lắng
自身,"tự, thân",じしん,tự tin
自慢,"tự, mạn",じまん,tự mãn
感心,"cảm, tâm",かんしん,quan tâm
感動,"cảm, động",かんどう,cảm động
興奮,"hưng, phấn",こうふん,hưng phấn
感想,"cảm, tưởng",かんそう,cảm tưởng
予想,"dự, tưởng",よそう,dự đoán
専門,"chuyên, môn",せんもん,chuyên môn
研究,"nghiên, cứu",けんきゅう,nghiên cứu
調査,"điều, tra",ちょうさ,điều tra
原因,"nguyên, nhân",げんいん,nguyên nhân
結果,"kết, quả",けっか,kết quả
解決,"giải, quyết",かいけつ,giải quyết
確認,"xác, nhận",かくにん,xác nhận
利用,"lợi, dụng",りよう,sử dụng
理解,"lý, giải",りかい,lý giải
発見,"phát, kiến",はっけん,phát kiến
発明,"phát, minh",はつめい,phát minh
関係,"quan, hệ",かんけい,quan hệ
団体,"đoàn, thể",だんたい,đoàn thể
選挙,"tuyển, cử",せんきょ,bầu cử
税金,"thuế, kim",ぜいきん,thuế
責任,"trách,nhiệm",せきにん,trách nhiệm
書類,"thư, loại",しょるい,tài liệu
題名,"đề, danh",だいめい,tiêu đề
条件,"điều, kiện",じょうけん,điều kiện
締め切り,"đế, thiết",しめきり,hạn cuối
期間,"kỳ, hạn",きかん,"thời gian, thời kỳ"
倍,bội,ばい,lần
くじ,,くじ,"xổ số, rút thăm"
近道,"cận, đạo",ちかみち,đường tắt
中心,"trung, tâm",ちゅうしん,trung tâm
