kanji,hanviet,hiragana,meaning
,,〜がります,muốn (ngôi thứ 3)
軽い,,かるい,nhẹ
,,カレンダー,lịch
川,,かわ,sông
〜側,,~がわ,bên~
可愛い,,かわいい,dễ thương
漢字,,かんじ,hán tự
気,,き,tinh thần
機会,,きかい,cơ hội
危険,,きけん,nguy hiểm
聞こえる,,きこえる,có thể nghe thấy
汽車,,きしゃ,xe hơi nước
技術,,ぎじゅつ,kĩ năng
季節,,きせつ,mùa
規則,,きそく,luật lệ
,,きっと,chắc chắn
絹,,きぬ,lụa
厳しい,,きびしい,nghiêm khắc
気分,,きぶん,tâm trạng
決まる,,きまる,được quyết định
君,,きみ,bạn (không trang trọng)
決める,,きめる,quyết định
気持ち,,きもち,cảm giác
着物,,きもの,Kimono
客,,きゃく,khách
急,,きゅう,"khẩn cấp, gấp"
急行,,きゅうこう,tốc hành
教育,,きょういく,giáo dục
教会,,きょうかい,nhà thờ
競争,,きょうそう,cạnh tranh
興味,,きょうみ,sự quan tâm
近所,,きんじょ,khu lân cận
具合,,ぐあい,"điều kiện, sức khỏe"
空気,,くうき,không khí
空港,,くうこう,sân bay
草,,くさ,cỏ
,,くださる,đơn vị đếm đồ vật nhỏ
首,,くび,cổ
雲,,くも,mây
比べる,,くらべる,so sánh
,,くれる,cho (tôi)
暮れる,,くれる,"lặn (mặt trời), hết (ngày)"
君,,くん,hậu tố áp dụng cho con trai còn trẻ
毛,,け,"lông, tóc"
計画,,けいかく,kế hoặch
経験,,けいけん,kinh nghiệm
経済,,けいざい,kinh tế
警察,,けいさつ,cảnh sát
,,ケーキ,bánh ga tô
怪我,,けが,vết thương
景色,,けしき,khung cảnh
消しゴム,,けしごむ,cục tẩy
下宿,,げしゅく,nhà trọ
決して,,けっして,không bao giờ
,,けれど/けれども,tuy nhiên
原因,,げんいん,nguyên nhân
喧嘩,,けんか,cãi nhau
研究,,けんきゅう,nghiên cứu
研究室,,けんきゅうしつ,phòng thí nghiệm
見物,,けんぶつ,ngắm cảnh
子,,こ,đứa trẻ
,,こう,lối này
郊外,,こうがい,ngoại ô
講義,,こうぎ,bài giảng
工業,,こうぎょう,công nghiệp
高校,,こうこう,trường trung học phổ thông
高校生,,こうこうせい,học sinh trung học phổ thông
工場,,こうじょう,nhà máy
校長,,こうちょう,hiệu trưởng
交通,,こうつう,giao thông
講堂,,こうどう,giảng đường
高等学校,,こうとうがっこう,trường trung học phổ thông (đầy đủ)
公務員,,こうむいん,công viên chức nhà nước
国際,,こくさい,quốc tế
心,,こころ,"trái tim, tâm"
ご主人,,ごしゅじん,chồng của tôi (tôn trọng)
故障,,こしょう,"thiệt hại, hư"
ご存知,,ごぞんじ,"sự quen biết, sự hiểu biết"
答,,こたえ,trả lời
,,ごちそう,"chiêu đãi, khao"
,,こと,sự việc
小鳥,,ことり,chim nhỏ
,,このあいだ,gần đây (thời gian)
,,このごろ,dạo gần đây
細かい,,こまかい,"lẻ (tiền), mỏng manh, li ti"
,,ごみ,rác
込む,,じしょこむ,đông
米,,こめ,gạo
ご覧になる,,ごらんになる,"nhìn, thấy (tôn trọng)"
,,これから,từ bây giờ
怖い,,こわい,đáng sợ
壊す,,こわす,"đánh vỡ, làm hư"
壊れる,,こわれる,"bị vỡ, hư"
,,コンサート,buổi hòa nhạc
今度,,こんど,lần sau
,,コンピューター,máy tính
今夜,,こんや,tối nay
最近,,さいきん,ngày nay
,,,
最後,,さいご,cuối cùng
最初,,さいしょ,đầu tiên
坂,,さか,"đồi, dốc"
探す,,さがす,tìm kiếm
下がる,,さがる,giảm
盛ん,,さかん,phổ biến
下げる,,さげる,hạ xuống
差し上げる,,さしあげる,cho (tôn trọng)
,,さっき,mới vừa
寂しい,,さびしい,buồn
再来月,,さらいげつ,tháng tới nữa
再来週,,さらいしゅう,tuần tới nữa
,,サラダ,xà lách
騒ぐ,,さわぐ,làm ồn
触る,,さわる,"đụng, chạm"
産業,,さんぎょう,"công nghiệp, sản nghiệp"
,,サンダル,"giày, dép san dan"
,,サンドイッチ,bánh mì sandwich
残念,,ざんねん,thất vọng
市,,し,thành phố
字,,じ,kí tự
試合,,しあい,trận đấu
仕方,,しかた,phương pháp
叱る,,しかる,"la, mắng"
試験,,しけん,kì kiểm tra
事故,,じこ,tai nạn
地震,,じしん,động đất
時代,,じだい,kỉ nguyênpp
下着,,したぎ,quần lót
支度,,したく,chuẩn bị
,,しっかり,đều đặn
失敗,,しっぱい,thất bại
辞典,,じてん,từ điển
品物,,しなもの,hàng hóa
,,しばらく,một lát
島,,しま,đảo
市民,,しみん,"người dân, công dân"
事務所,,じむしょ,văn phòng
社会,,しゃかい,xã hội
社長,,しゃちょう,chủ tịch (công ty)
,,じゃま,cản trở
,,ジャム,mứt
自由,,じゆう,tự do
習慣,,しゅうかん,tập quán
住所,,じゅうしょ,địa chỉ
柔道,,じゅうどう,môn Judo
十分,,じゅうぶん,đủ
出席,,しゅっせき,"sự có mặt, sự tham dự"
出発,,しゅっぱつ,khởi hành
趣味,,しゅみ,sở thích
準備,,じゅんび,chuẩn bị
紹介,,しょうかい,giới thiếu
小学校,,しょうがっこう,trường tiểu học
小説,,しょうせつ,tiểu thuyết
招待,,しょうたい,lời mời
承知,,しょうち,"sự chấp nhận, đồng ý"
将来,,しょうらい,tương lai
食事,,しょくじ,bữa ăn
食料品,,しょくりょうひん,"thực phẩm, nguyên liệu nấu ăn"
女性,,じょせい,đàn bà
知らせる,,しらせる,thông báo
調べる,,しらべる,điều tra
人口,,じんこう,dân số
神社,,じんじゃ,tôm Shinro
親切,,しんせつ,tử tế
心配,,しんぱい,lo lắng
新聞社,,しんぶんしゃ,tòa báo
水泳,,すいえい,bơi
水道,,すいどう,nước máy
,,ずいぶん,tương đối
数学,,すうがく,"toán, số học"
,,スーツ,bộ com-le
,,スーツケース,cặp xách tay
過ぎる,,すぎる,vượt quá
空く,,すく,mở
,,スクリーン,màn hình
凄い,,すごい,tuyệt vời
進む,,すすむ,tiến bộ
,,すっかり,hoàn toàn
,,すっと,nhanh như chớp
,,ステーキ,thịt bò bít tết
捨てる,,すてる,vứt
,,ステレオ,"âm lập thể, máy hát"
砂,,すな,cát
素晴らしい,,すばらしい,tuyệt vời
滑る,,すべる,"trơn, trợt"
隅,,すみ,góc
済む,,すむ,hoàn thành
,,すり,kẻ móc túi
,,すると,sau đó
生活,,せいかつ,cuộc sống
生産,,せいさん,sản xuất
政治,,政治,chính trị
西洋,,せいよう,đất nước phương Tây
世界,,せかい,thế giới
席,,せき,ghế ngồi
説明,,せつめい,giải thích
背中,,せなか,lưng
是非,,ぜひ,nhất định
世話,,せわ,"chăm sóc, quan tâm"
線,,せん,đường
全然,,ぜんぜん,hoàn toàn không
戦争,,せんそう,chiến tranh
先輩,,せんぱい,tiền bối
,,そう,vậy
相談,,そうだん,thảo luận
育てる,,そだてる,"nuôi, trồng"
卒業,,そつぎょう,tốt nghiệp
祖父,,そふ,ông
ソフト,,そふと,mềm
祖母,,そぼ,bà
,,それで,vì vậy
,,それに,ngoài ra
,,それほど,ở mức nào đó
,,そろそろ,"dần dần, sớm"
,,そんな,~ như vậy
,,そんなに,như thế này
退院,,たいいん,xuất viện
大学生,,だいがくせい,sinh viên đại học
大事,,だいじ,đại sự
大体,,だいたい,đại khái
,,たいてい,thường xuyên
,,タイプ,loại
大分,,だいぶ,đáng kể
台風,,たいふう,bão táp
倒れる,,たおれる,"đổ, sụp đổ"
,,だから,vì vậy
確か,,たしか,có lẽ
足す,,たす,thêm vào
訪ねる,,たずねる,ghé thăm
尋ねる,,たずねる,"hỏi, yêu cầu"
正しい,,ただしい,đúng
畳,,たたみ,chiếu
立てる,,たてる,đứng
建てる,,たてる,xây dựng
例えば,,たとえば,ví dụ
棚,,たな,"kệ (sách,…)"
楽しみ,,たのしみ,niềm vui
楽しむ,,たのしむ,"vui chơi, vui đùa"
,,たまに,thường xuyên
為,,ため,để…
駄目,,だめ,vô dụng
足りる,,たりる,đủ
男性,,だんせい,đàn ông
暖房,,だんぼう,nhiệt
血,,ち,máu
,,チェック,kiểm tra
力,,ちから,sức mạnh
,,ちっとも,không~ chút nào
,,ちゃん,hậu tố dùng cho con gái
注意,,ちゅうい,chú ý
中学校,,ちゅうがっこう,trường trung học cơ cở
注射,,ちゅうしゃ,sự tiêm chủng
駐車場,,ちゅうしゃじょう,bãi đậu xe
地理,,ちり,địa lý
捕まえる,,つかまえる,nắm bắt
月,,つき,mặt trăng
付く,,つく,gắn
漬ける,,つける,"chấm, ngâm, tẩm, ướp"
都合,,つごう,"tình huống, điều kiện"
伝える,,つたえる,chuyển lời lại
続く,,つづく,tiếp tục (tự động từ)
続ける,,つづける,tiếp tục (tha động tự)
包む,,つつむ,gói lại
妻,,つま,vợ
,,つもり,dự định
釣る,,つる,câu cá
連れる,,つれる,dẫn dắt
丁寧,,ていねい,lịch sự
,,テキスト,văn bản
適当,,てきとう,phù hợp
,,できるだけ,"càng nhiều càng tốt, hết sức"
手伝う,,てつだう,"giúp, hỗ trợ"
,,テニス,tennis
手袋,,てぶくろ,găng tay
寺,,てら,"đền, chùa"
点,,てん,"điểm, chấm"
店員,,てんいん,nhân viên bán hàng
天気予報,,てんきよほう,dự báo thời tiết
電灯,,でんとう,đèn điện
電報,,でんぽう,điện báo
展覧会,,てんらんかい,triển lãm
都,,と,kinh đô
道具,,どうぐ,công cụ
,,とうとう,bình tĩnh
動物園,,どうぶつえん,sở thú
遠く,,とおく,xa
通る,,とおる,"đi qua, vượt qua"
特に,,とくに,đặc biệt
特別,,とくべつ,đặc biệt (tính từ)
床屋,,とこや,tiệm cắt tóc
途中,,とちゅう,trên đường
特急,,とっきゅう,tàu tốc hành
届ける,,とどける,"đưa đến, chuyển đến"
泊まる,,とまる,ở trọ
止める,,とめる,dừng
取り替える,,とりかえる,đổi
泥棒,,どろぼう,tên trôm
,,どんどん,ngày càng
直す,,なおす,sửa
直る,,なおる,được sửa
治る,,なおる,"khỏi, hết (bệnh)"
中々,,なかなか,đáng kể
泣く,,なく,khóc
無くなる,,なくなる,"biến mất, lạc"
亡くなる,,なくなる,"chết, mất"
投げる,,なげる,"ném đi, vứt đi"
,,なさる,làm (tôn trọng)
鳴る,,なる,"gáy, kêu, hú, hót"
,,なるべく,càng nhiều càng tốt
,,なるほど,thật sự
慣れる,,なれる,làm quen
匂い,,におい,mùi
苦い,,にがい,đắng
二階建て,,にかいだて,tòa nhà 2 tầng
逃げる,,にげる,"thoát, trốn thoát"
日記,,にっき,nhật kí
入院,,にゅういん,nhập viện
入学,,にゅうがく,nhập học
似る,,にる,tương tự
人形,,にんぎょう,búp bê
盗む,,ぬすむ,"cướp, trộm"
塗る,,ぬる,"sơn, tô"
濡れる,,ぬれる,bị ướt
値段,,ねだん,price
熱,,ねつ,sốt
熱心,,ねっしん,sự nhiệt tình
寝坊,,ねぼう,ngủ dậy muộn
眠い,,ねむい,buồn ngủ
眠る,,ねむる,ngủ
残る,,のこる,còn lại
,,のど,cổ họng
乗り換える,,のりかえる,"đổi (xe), thay đổi (quan điểm)"
乗り物,,のりもの,phương tiện
葉,,は,lá
場合,,ばあい,tình huống
パート,,ぱーと,bán thời gian
倍,,ばい,gấp đôi
拝見,,はいけん,"nhìn, tìm ra (tôn trọng)"
歯医者,,はいしゃ,nha sĩ
運ぶ,,はこぶ,vận chuyển
始める,,はじめる,bắt đầu
場所,,ばしょ,địa điểm
,,はず,chắc chắn
恥ずかしい,,はずかしい,bối rối
,,パソコン,máy tính cá nhân
発音,,はつおん,phát âm
,,はっきり,rõ ràng
花見,,はなみ,ngắm hoa
林,,はやし,rừng
払う,,はらう,trả (tiền)
番組,,ばんぐみ,chương trình
反対,,はんたい,ngược lại
,,ハンドバッグ,túi xách
日,,ひ,"ngày, mặt trời"
火,,ひ,lửa
,,ピアノ,đàn piano
冷える,,ひえる,"lạnh đi, nguội đi"
光,,ひかり,ánh sáng
光る,,ひかる,chiếu sáng
引き出し,,ひきだし,ngăn kéo
引き出す,,ひきだす,"kéo ra, lấy ra"
髭,,ひげ,râu quai hàm
飛行場,,ひこうじょう,sân bay
久しぶり,,ひさしぶり,đã bao lâu nay
美術館,,びじゅつかん,bảo tàng mỹ thuật
非常に,,ひじょうに,cực kì
吃驚,,びっくり,bất ngờ
引っ越す,,ひっこす,chuyển nhà
必要,,ひつよう,cần thiết
酷い,,ひどい,kinh khủng
開く,,ひらく,"mở (lớp học, sự kiện,…)"
,,ビル,tòa nhà
昼間,,ひるま,ban ngày
昼休み,,ひるやすみ,nghỉ trưa
拾う,,ひろう,nhặt
,,ファックス,fax
増える,,ふえる,tăng
深い,,ふかい,sâu
複雑,,ふくざつ,phức tạp
復習,,ふくしゅう,ôn tập
部長,,ぶちょう,trưởng phòng
普通,,ふつう,thường xuyên
葡萄,,ぶどう,trái nho
太る,,ふとる,mập ra
布団,,ふとん,mền của người Nhật
船,,ふね,"tàu, thuyền"
不便,,ふべん,bất tiện
踏む,,ふむ,giẫm lên
降り出す,,ふりだす,bắt đầu mưa
,,プレゼント,một món quà
文化,,ぶんか,văn hóa
文学,,ぶんがく,văn học
文法,,ぶんぽう,ngữ pháp
別,,べつ,khác
,,ベル,chuông
変,,へん,lạ
返事,,へんじ,trả lời
貿易,,ぼうえき,giao dịch
放送,,ほうそう,trực tiếp
法律,,ほうりつ,luật
僕,,ぼく,"tôi, tao (nam)"
星,,ほし,ngôi sao
,,ほど,nhịp đi
,,ほとんど,hầu như
褒める,,ほめる,khen
翻訳,,ほんやく,dịch
参る,,まいる,"đi, đến (thể khiêm tốn)"
負ける,,まける,thua
真面目,,まじめ,nghiêm túc
,,まず,đầu tiên
,,または,"hoặc, nếu không"
間違える,,まちがえる,phạm sai lầm
間に合う,,まにあう,kịp giờ
周り,,まわり,xung quanh
回る,,まわる,đi xung quanh
漫画,,まんが,manga
真ん中,,まんなか,ở giữa
見える,,みえる,có thể nhìn thấy được
湖,,みずうみ,hồ nước
味噌,,みそ,súp đậu
見つかる,,みつかる,được khám phá
見つける,,みつける,khám phá
皆,,みな,mọi người
港,,みなと,cảng
向かう,,むかう,đối mặt
迎える,,むかえる,đón
昔,,むかし,ngày xưa
虫,,むし,côn trùng
息子,,むすこ,con trai
娘,,むすめ,con gái
無理,,むり,không thể
召し上がる,,めしあがる,ăn (tôn trọng)
珍しい,,めずらしい,hiếm
申し上げる,,もうしあげる,"nói, kể (tôn trọng)"
申す,,もうす,được gọi là
もうすぐ,,もうすぐ,sớm
,,もし,nếu
,,もちろん,tất nhiên
,,もっとも,cực kì
戻る,,もどる,trở lại
木綿,,もめん,vải cotton
貰う,,もらう,nhận
森,,もり,rừng
焼く,,やく,nướng
約束,,やくそく,hứa
役に立つ,,やくにたつ,hữu ích
焼ける,,やける,nướng
優しい,,やさしい,tử tế
痩せる,,やせる,gầy đi
,,やっと,cuối cùng
,,やはり/やっぱり,như tôi nghĩ
止む,,やむ,dừng (tự động từ)
止める,,やめる,dừng (tha động từ)
柔らかい,,やわらかい,mềm
湯,,ゆ,nước nóng
輸出,,ゆしゅつ,xuất khẩu
輸入,,ゆにゅう,nhập khẩu
指,,ゆび,ngón tay
指輪,,ゆびわ,nhẫn
夢,,ゆめ,giấc mơ
揺れる,,ゆれる,lắc
用,,よう,dùng
用意,,ようい,chuẩn bị
用事,,ようじ,việc bận
汚れる,,よごれる,bẩn
予習,,よしゅう,chuẩn bị bài
予定,,よてい,sắp xếp
予約,,よやく,đặt trước
寄る,,よる,thăm
喜ぶ,,よろこぶ,vui
宜しい,,よろしい,ổn (tôn trọng)
理由,,りゆう,lí do
利用,,りよう,tiện dụng
両方,,りょうほう,cả 3 bên
旅館,,りょかん,khách sạn kiểu Nhật
留守,,るす,vắng nhà
冷房,,れいぼう,máy điều hòa
歴史,,れきし,lịch sử
,,レジ,máy tính tiền
,,レポート,báo cáo
連絡,,れんらく,liên lạc
,,ワープロ,máy đánh chữ
沸かす,,わかす,sôi
別れる,,わかれる,chia ra
沸く,,わく,luộc
訳,,わけ,"ý nghĩa, lí do"
忘れ物,,わすれもの,vật để quên
笑う,,わらう,cười
割合,,わりあい,"tỉ lệ, phần trăm"
割れる,,われる,làm vỡ
